Year,Risk_Score_Change,Waste_Generation_2015_tons
0,-393.9719677266784,17792.200651842257
1,-226.2343772032044,9773.5011609981
2,211.9924516835089,12100.472955995903
3,-81.8946503883134,2402.540235340577
4,61.48591032438523,10072.660424009244
5,21.5332188336958,16537.02076994264
6,9.124538838703764,1881.285097230507
7,-79.46225664419558,4572.143238830544
8,25.77981527577279,4186.765448836324
9,61.28449022145594,14595.598492709352
10,122.132235248186,19549.70195735945
11,-128.953020319673,3368.232582752506
12,136.8471848000476,4422.020143069442
13,-80.81697644737073,24768.955609212444
14,-46.00590410538988,2443.571705764928
15,104.82795109633312,4375.495519013957
16,193.36794585691337,10725.2953009436
17,18.773050539420865,10338.41293180676
18,-168.46762895328362,15129.275633897125
19,-98.9207165940997,8934.371191575457
20,-187.0182958886545,11882.562547715328
21,908.3854868458724,6691.960207169271
22,90.21191499009176,13394.594427235328
23,436.781595543569,13385.390398622716
24,-518.756529159144,15089.035394326029
25,19.601944311324367,619.1318168653253
26,-95.06302900500457,10748.152779293388
27,125.13225739587428,12138.057370901051
28,-21.20260536296152,17797.883541481344
29,-32.85426839955679,13660.226286754714
30,-42.45050603934922,6639.984913491312
31,-195.73873666137504,10819.700972758905
32,92.4777553329291,10544.323903803845
33,-23.56379638550496,2096.9280983307644
34,-160.98430120298383,18986.37624354401
35,139.9882087599849,10422.674802671188
36,532.7775098029097,20224.614477235333
37,-31.793812118278424,9968.238391263409
38,-144.69447152715338,21168.61208735999
39,-69.93657479273492,6179.435508509266
40,129.97083289333833,3058.6544985892715
41,94.05891044071768,15528.693693547022
42,186.96446779186252,10160.003763155026
43,-166.70985701191356,12573.503542535384
44,66.9418610516546,12183.688818562585
45,248.5488163835869,8154.164548199303
46,-142.82966597118258,4253.805072671006
47,-217.61940637947876,12333.775646566242
48,-167.07407348616098,12160.898477595803
49,113.72705395329017,7813.7352342650065
50,592.8065735750724,7565.421892601665
51,11.5957670167042,15402.383031329917
52,362.2526437599471,7968.869715975542
53,-140.25437061170328,9231.71632095618
54,308.7999480587208,8823.226467489229
55,43.264348619053465,9224.170838925438
56,-142.07718015484602,16878.507169881475
57,329.2329782339124,8723.279372085293
58,-38.6844781896087,2047.3138655280204
59,131.05551732610533,4404.314233424129
60,-288.20657953346495,7632.45392994558
61,-302.8682798312238,18507.209720548384
62,-156.05663433335624,12871.425296617756
63,-44.30436008236665,3370.199678184756
64,59.50762311330499,4659.902266477607
65,-105.68729699489268,8278.247642925948
66,73.33984642079918,9104.576989560375
67,3.435191779894602,3463.9788622608794
68,-175.61350621143708,19742.09099443272
69,167.71438340347717,13880.7783532956
70,53.21535644226002,8460.121334777383
71,-150.09126139556696,4944.5422058534405
72,243.20619440252307,17923.74757639149
73,366.284851594537,11454.183731353029
74,145.33795193790382,11232.638097813278
75,6.803565010695237,5220.440614506812
76,-389.3610625491887,21223.82887470618
77,26.031422508560205,3601.267501244733
78,-209.6299422070078,11501.068638683755
79,-8.454977227834455,4310.260769020502
80,-6.428142688007071,2569.4375701507256
81,-1.8290278431429885,4565.4581425223705
82,-116.61218972301282,4517.923309521287
83,17.343770271672483,1938.143019702837
84,56.199483201386826,2622.599200898592
85,56.69074640000941,5299.3366976864
86,12.46259808594212,6803.220847569056
87,-66.98800714011162,10020.649656897069
88,-49.18091197532365,20763.62451292004
89,-63.54828893249624,14850.419406083549
90,526.039213593046,7300.413216521163
91,-180.31101225239277,15011.486961816112
92,-44.13698058270069,9975.004402604192
93,52.97003640749204,1419.690931849147
94,194.1514183187305,18211.519242432067
95,126.33405294412546,15313.280875837636
96,-52.59070863424273,10233.449987379134
97,-125.70238369744509,9723.919925601234
98,125.30030023645318,4660.710573893733
99,-498.7443046045661,12976.191311466411
100,62.91579788518657,7106.344138659671
101,0.8646563844334931,355.4336157188824
102,165.66793986362526,13082.66517804754
103,388.7490313996688,14031.380142107311
104,39.21351168594951,3605.804214875917
105,14.413405055014492,4623.146564384012
106,457.3307127214071,15096.309341065216
107,252.75785369551136,9224.66300502277
108,248.5448804150052,12138.37202688216
109,-145.09860432436386,15140.696631686056
