Country,share_percentage
Bangladesh,0.9833585471142513
Brazil,0.9833585471142513
Cameroon,1.9288956125020593
China,3.403933436877892
Cote d'Ivoire,1.2481089266082634
Dominican Republic,0.8320726165040238
India,14.599092279807996
Indonesia,1.0590015142715927
Malaysia,9.0015128620474
Myamnar,2.3071104408798564
Nigeria,1.51285930239782
Philippines,56.84568834992555
Sri Lanka,1.0211800288406945
Tanzania,1.2102874448818202
Thailand,1.51285930239782
Vietnam,1.5506807878287185
