river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Quan,12,0.1379,0.0295,0.0912,0.1892,China,38.9818,128.6368
R. des Outaouais,12,0.0362,0.0148,0.0155,0.0591,Canada,60.1828,-87.7341
Rakaia,6,0.1022,0.0274,0.07,0.1366,New Zealand,-53.2881,180.0
Ramu,6,0.0241,0.013,0.0112,0.0448,Papua New Guinea,-4.4409,161.0276
Rangitaiki,6,0.0125,0.003,0.0073,0.0166,New Zealand,-46.8897,180.0
Rangitata,6,0.1222,0.0218,0.09,0.153,New Zealand,-53.6286,180.0
Rangitikei,6,0.034,0.0082,0.0255,0.043,New Zealand,-47.0558,180.0
Rhine,6,0.0131,0.0061,0.0051,0.0206,Germany,67.3469,5.5497
Rhône,12,0.0548,0.0538,0.0073,0.1719,Switzerland,57.8234,6.8276
Richelieu,6,0.0459,0.0104,0.031,0.0541,Canada,56.0354,-81.6249
Rio Batepito,6,0.0207,0.0074,0.0143,0.0332,Mexico,35.8868,-121.5777
Rio Rapel,6,0.0109,0.0034,0.0081,0.0163,Chile,-38.6182,-79.6464
Rogue,6,0.0191,0.0041,0.014,0.0238,United States of America,52.1592,-138.1822
Rokel,6,0.0567,0.0341,0.0187,0.1059,Sierra Leone,9.5113,-14.3265
Rong,6,0.1373,0.0298,0.0914,0.1768,China,27.8701,121.8868
Roper,12,0.0226,0.0148,0.0022,0.0381,Australia,-16.4622,149.7964
Ruakituri,6,0.0108,0.0039,0.0061,0.0165,New Zealand,-46.415,180.0
Rufiji,6,0.0894,0.0237,0.063,0.1207,United Republic of Tanzania,-8.6779,43.6957
Ruvuma,6,0.0645,0.0177,0.0398,0.0836,Mozambique,-11.6483,45.0142
Río Chirripó del Atlántico,6,0.0198,0.0056,0.0108,0.0279,Costa Rica,11.2473,-92.6075
Río Grande de Matagalpa,6,0.0,0.0,0.0,0.0,Nicaragua,14.3909,-92.9603
Río Grande de Santiago,12,0.0167,0.0024,0.012,0.019,Mexico,24.7427,-117.0061
S. Fork Kuskokwim,6,0.0031,0.0015,0.001,0.005,United States of America,90.0,-172.2454
Sacramento,12,0.0097,0.0021,0.0071,0.0143,United States of America,49.4346,-136.2669
Sagavanirktok,6,0.0034,0.0015,0.002,0.0057,United States of America,90.0,-164.9715
Saguenay,6,0.0743,0.0477,0.001,0.1372,Canada,61.8601,-80.5636
Saint Lawrence,6,0.1553,0.0871,0.0535,0.242,Canada,55.9118,-83.1701
Saint Paul,6,0.0247,0.008,0.015,0.0364,Liberia,7.0964,-11.9773
Salinas,12,0.0128,0.008,0.0032,0.022,United States of America,43.7575,-135.5428
San Joaquin,12,0.0065,0.0031,0.003,0.0117,United States of America,44.1345,-133.2471
San Juan,18,0.0397,0.0296,0.0014,0.0849,Argentina,-37.9166,-74.9868
San Miguel,6,0.0358,0.003,0.03,0.0382,Bolivia,-14.9936,-71.2445
San Pedro,12,0.0305,0.0023,0.0262,0.0336,Mexico,24.6947,-117.4171
Sane,6,0.074,0.0231,0.0434,0.1061,France,58.8374,5.5115
Santa,6,0.024,0.0073,0.0103,0.0309,Peru,-11.1469,-85.9798
Santa Cruz,6,0.0165,0.0076,0.006,0.0282,Argentina,-64.1648,-76.825
Santa Maria,6,0.0303,0.0084,0.0178,0.0398,Panama,8.977,-89.5874
Santiago,6,0.0357,0.0066,0.0261,0.0453,Ecuador,-5.4432,-85.0871
Sartang,6,0.0027,0.0014,0.001,0.0045,Russia,90.0,149.625
Save,6,0.0804,0.049,0.0085,0.1531,Zimbabwe,-23.7096,39.0803
Schelde,6,0.0158,0.0072,0.0051,0.0238,Belgium,66.3559,4.796
Segre,6,0.0493,0.0272,0.015,0.0941,Spain,50.3919,0.3478
Seine,6,0.0134,0.0041,0.0082,0.0205,France,63.2653,0.549
Selennyakh,6,0.0027,0.0014,0.001,0.0045,Russia,90.0,161.3787
Sepik,6,0.0444,0.0218,0.0108,0.0672,Papua New Guinea,-4.3178,160.7633
Setit,6,0.0456,0.0191,0.0247,0.0647,Ethiopia,16.3463,39.9586
Severn,18,0.0053,0.0053,0.0,0.0228,United Kingdom,67.2645,-2.662
Severnaya Dvina,6,0.0023,0.001,0.001,0.0036,Russia,90.0,45.1184
Severnaya Sos’va,6,0.0008,0.0004,0.0,0.001,Russia,90.0,72.867
Shabeelle,6,0.0229,0.0306,0.001,0.0827,Somalia,5.4961,50.103
Shannon,12,0.0032,0.0021,0.0014,0.0073,Ireland,69.1511,-9.4055
Shebele,6,0.0229,0.0306,0.001,0.0827,Ethiopia,5.4961,50.103
Sheksna,12,0.0083,0.006,0.003,0.0231,Russia,83.7915,42.3376
Shire,6,0.1359,0.0244,0.1067,0.1761,Malawi,-16.2145,39.2483
Sittong,6,0.0293,0.0083,0.0139,0.0372,Myanmar,19.6132,107.8497
Sió,6,0.0365,0.0107,0.0242,0.0563,Hungary,58.0536,21.0466
Skeena,6,0.006,0.0011,0.005,0.0076,Canada,71.814,-144.1404
Skelleftelven,6,0.003,0.0013,0.0014,0.005,Sweden,90.0,17.8959
Slave,6,0.0301,0.0062,0.022,0.0376,Canada,86.4497,-126.5752
Song’acha,6,0.0353,0.0169,0.0089,0.0558,China,56.0062,147.8762
Soroksari Duna,6,0.0483,0.0601,0.0141,0.1681,Hungary,59.8807,21.2213
Sous,6,0.0549,0.0094,0.0408,0.0687,Morocco,35.5058,-9.5178
South Esk,6,0.0645,0.0285,0.0336,0.1068,Australia,-50.7252,163.7784
South Nahanni,6,0.0042,0.0017,0.002,0.006,Canada,85.9823,-137.2939
Sprague,6,0.0302,0.0032,0.0261,0.0355,United States of America,52.0371,-135.7549
Sreng,6,0.0443,0.005,0.0388,0.0527,Cambodia,14.7564,115.4243
Srepok,6,0.0321,0.0091,0.0173,0.0442,Cambodia,15.1166,117.9656
St.-Maurice,6,0.0599,0.0318,0.0279,0.1193,Canada,58.0696,-80.7349
Stanislaus,6,0.0099,0.0022,0.0076,0.0125,United States of America,45.0817,-134.9565
Stewart,6,0.0035,0.0014,0.002,0.005,Canada,90.0,-155.2223
Stikine,6,0.0041,0.0023,0.001,0.0067,Canada,76.5097,-147.2884
Stora Lule lv,12,0.0029,0.001,0.0014,0.0042,Sweden,90.0,22.0374
Suda,12,0.057,0.0408,0.019,0.1369,Russia,79.9158,42.7553
Sukhona,12,0.0031,0.0019,0.001,0.0067,Russia,83.3352,43.4741
Sura,6,0.0505,0.0049,0.043,0.0571,Russia,73.5533,51.6977
Susitna,6,0.0025,0.0005,0.002,0.0032,United States of America,86.7054,-167.6272
Svir,12,0.002,0.0012,0.0,0.0045,Russia,85.9297,38.7674
Taieri,6,0.0351,0.0066,0.0244,0.0432,New Zealand,-57.0103,180.0
Tajo,12,0.0337,0.0205,0.0058,0.0711,Spain,48.1134,-5.8052
Tamar,6,0.01,0.0112,0.0,0.0318,Australia,-50.3201,163.6522
Tambo,6,0.1322,0.0134,0.1077,0.1436,Peru,-19.2783,-79.9826
Tanana,6,0.0029,0.0016,0.001,0.005,United States of America,90.0,-169.2589
Taritatu,6,0.0084,0.0027,0.005,0.0117,Indonesia,-3.5297,154.4025
Tarn,6,0.0654,0.0297,0.0304,0.1148,France,54.4854,1.1453
Taymura,6,0.0029,0.0014,0.001,0.005,Russia,90.0,109.1465
Taz,6,0.0018,0.0015,0.0,0.004,Russia,90.0,87.472
Tejo,6,0.027,0.0117,0.013,0.0405,Portugal,47.0873,-9.7573
Tekapo,12,0.0778,0.055,0.0089,0.1801,New Zealand,-54.3625,180.0
Tekezé,6,0.001,0.001,0.0,0.0022,Ethiopia,15.4967,42.0973
Teslin,12,0.0096,0.0076,0.001,0.0268,Canada,82.7589,-147.0479
Thames,6,0.0236,0.0106,0.0045,0.0367,United Kingdom,66.684,0.428
Thelon,12,0.0015,0.0004,0.001,0.0022,Canada,90.0,-108.0949
Thlewiaza,12,0.0134,0.0072,0.0071,0.0244,Canada,84.4498,-108.0563
Ticino,12,0.1065,0.1129,0.0081,0.341,Italy,57.06,9.5963
Tobol,6,0.0595,0.0688,0.012,0.185,Russia,79.6644,75.9402
Tom’,6,0.0449,0.02,0.025,0.0822,Russia,77.0606,93.994
Tone,6,0.0831,0.0117,0.0705,0.101,Japan,42.389,156.8012
Tongariro,6,0.0047,0.0023,0.0014,0.0081,New Zealand,-47.1644,180.0
Tonle Sap,12,0.026,0.0196,0.003,0.0527,Cambodia,14.7564,115.4243
Tornelven,6,0.003,0.0012,0.0014,0.0042,Sweden,90.0,26.8982
Trent,6,0.0134,0.0058,0.0071,0.0234,United Kingdom,70.7757,-0.7854
Trinity,6,0.0108,0.0033,0.0063,0.0136,United States of America,50.1413,-137.6907
Trofimovskaya Protoka,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,140.8325
Tsiribihina,6,0.0307,0.0079,0.0222,0.0419,Madagascar,-22.1657,49.4389
Tsna,6,0.0662,0.0176,0.035,0.0854,Russia,72.7708,46.602
Tugela,6,0.0565,0.0288,0.0222,0.0941,South Africa,-33.8246,35.0451
Tukituki,6,0.0287,0.0084,0.0163,0.0376,New Zealand,-48.2595,180.0
Tuloma,6,0.0024,0.0012,0.001,0.0042,Russia,90.0,35.3538
Tumatskaya Protoka,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,140.8917
Tumbes,6,0.0207,0.0102,0.0125,0.0376,Ecuador,-5.4136,-90.3811
Tumen,6,0.0149,0.0066,0.0086,0.0239,North Korea,51.7653,145.4948
Tungabhadra,12,0.051,0.0307,0.0082,0.1024,India,17.0938,84.9583
Tura,6,0.0792,0.0128,0.0631,0.0914,Russia,77.699,74.5369
Turakina,6,0.0293,0.0084,0.0177,0.0385,New Zealand,-47.6978,180.0
Tutaekuri,6,0.0086,0.0101,0.0014,0.0288,New Zealand,-47.4162,180.0
Tvertsa,6,0.0271,0.012,0.0098,0.0428,Russia,76.9839,40.0332
Tyung,6,0.0029,0.0015,0.0014,0.0051,Russia,90.0,135.2512
Ucayali,6,0.0279,0.0102,0.013,0.0408,Peru,-4.9199,-81.8072
Uchur,6,0.0239,0.0153,0.0081,0.0437,Russia,78.0264,146.1492
Udzha,6,0.003,0.0014,0.0014,0.0051,Russia,90.0,127.1283
Unzha,12,0.0286,0.0237,0.005,0.0693,Russia,77.9166,48.0652
Urique,6,0.0086,0.0067,0.0,0.0163,Mexico,30.9723,-120.1655
Usa,6,0.001,0.0005,0.0,0.0014,Russia,90.0,63.3208
Ussuri,6,0.0327,0.0179,0.0054,0.0522,Russia,56.8171,148.5167
Vakh,6,0.0061,0.0033,0.002,0.0108,Russia,85.5122,85.4999
Vasyugan,6,0.0832,0.0222,0.0686,0.124,Russia,81.6978,89.8394
Velikaya,6,0.0169,0.0094,0.0054,0.0295,Russia,79.0368,31.3271
Verde,18,0.0206,0.0126,0.0051,0.0382,Brazil,-23.9937,-57.7394
Verkhniy Yenisey,6,0.0556,0.0344,0.0143,0.097,Russia,70.8573,101.8695
Verkhnyaya Taymyra,6,0.003,0.0013,0.0014,0.005,Russia,90.0,111.0764
Vienne,6,0.0472,0.0194,0.0251,0.0743,France,59.4639,0.0839
Vilyuy,12,0.0029,0.0014,0.0014,0.0051,Russia,90.0,121.9915
Vishera,6,0.0027,0.002,0.0,0.0054,Russia,83.4164,62.8204
Vistula,12,0.0525,0.0314,0.0108,0.1271,Poland,64.0059,20.9397
Vitim,6,0.0037,0.0023,0.001,0.006,Russia,82.3104,125.5399
Volga,6,0.0737,0.0339,0.0391,0.1383,Russia,69.7441,54.1699
Volkhov,12,0.006,0.0045,0.0014,0.0149,Russia,80.4017,34.8429
Vorma,24,0.0039,0.0024,0.0,0.0102,Norway,84.5541,12.5009
Voronya,12,0.0023,0.0009,0.001,0.0036,Russia,90.0,39.1712
Vuoksi,12,0.0131,0.0125,0.0,0.0361,Russia,84.1528,34.9678
Vychegda,6,0.0067,0.0038,0.0014,0.011,Russia,86.5458,51.8649
Vym,6,0.0035,0.0011,0.0022,0.005,Russia,88.7193,56.0934
Waal,6,0.0176,0.0115,0.006,0.034,Netherlands,67.1399,4.9015
Waiau,18,0.0207,0.0129,0.003,0.047,New Zealand,-56.7946,180.0
Waihou,6,0.0126,0.0034,0.0073,0.0157,New Zealand,-45.6448,180.0
Waikato,12,0.0404,0.0314,0.0073,0.0881,New Zealand,-46.8851,180.0
Waimakariri,6,0.0385,0.0293,0.0072,0.0877,New Zealand,-52.7321,180.0
Wainganga,6,0.1013,0.0526,0.0427,0.1759,India,21.2076,88.9631
Wairau,6,0.0309,0.0127,0.0184,0.0455,New Zealand,-51.5398,180.0
Wairoa,12,0.0219,0.0115,0.0028,0.0425,New Zealand,-42.128,180.0
Waitaki,6,0.0418,0.0108,0.026,0.0516,New Zealand,-55.2311,180.0
Waitoa,6,0.0297,0.0105,0.014,0.0425,New Zealand,-45.3974,180.0
Wami,6,0.1197,0.0166,0.1051,0.149,United Republic of Tanzania,-6.8224,43.2447
Weser,6,0.0186,0.0051,0.0125,0.026,Germany,70.1519,9.467
Whakatane,6,0.0069,0.0045,0.0,0.0122,New Zealand,-46.4302,180.0
Whangaehu,6,0.0068,0.0039,0.0022,0.0117,New Zealand,-47.3508,180.0
Whanganui,6,0.0094,0.0151,0.0,0.0345,New Zealand,-46.9573,180.0
White,6,0.0035,0.0014,0.002,0.005,United States of America,40.6638,-101.5107
White Sea Canal,12,0.0023,0.0009,0.001,0.0036,Russia,90.0,38.2087
Willamette,6,0.0184,0.0146,0.002,0.0342,United States of America,56.9491,-136.6271
Xi,6,0.0057,0.0029,0.001,0.0089,China,25.6438,125.9753
Xiang,6,0.0953,0.03,0.0516,0.1314,China,33.7362,125.7838
Xun,6,0.1013,0.0199,0.0724,0.1202,China,26.7323,123.9001
Yana,6,0.0027,0.0014,0.001,0.0045,Russia,90.0,151.3668
Yangtze,6,0.0266,0.0057,0.019,0.0368,China,37.6642,133.1452
Yapacani,6,0.0032,0.0026,0.0,0.0076,Bolivia,-17.7698,-71.9804
Yaqui,12,0.0182,0.0039,0.0108,0.0233,Mexico,32.452,-122.3157
Yenisey,6,0.002,0.0015,0.0,0.004,Russia,90.0,92.5919
Yi,6,0.0447,0.0234,0.023,0.0759,China,41.0072,132.6932
Ying,6,0.0113,0.0193,0.0,0.049,China,38.0602,129.7116
Yom,12,0.0421,0.0518,0.0085,0.2001,Thailand,20.2897,112.0014
Yong,6,0.2136,0.0394,0.1411,0.2613,China,25.8329,121.2243
Yonne,6,0.0309,0.0215,0.004,0.0662,France,61.4116,3.2961
You,6,0.0952,0.0128,0.076,0.112,China,25.9662,120.3278
Yu,6,0.2136,0.0394,0.1411,0.2613,China,25.8329,121.2243
Yuan,12,0.061,0.0255,0.0192,0.1064,China,33.5891,125.685
Yukon,6,0.0029,0.0016,0.001,0.005,United States of America,90.0,-180.0
Zambezi,6,0.1127,0.0787,0.0022,0.2123,Mozambique,-17.5179,34.2824
Zncara,6,0.0355,0.0173,0.012,0.057,Spain,47.4005,-3.5228
Zuo,6,0.0952,0.0128,0.076,0.112,China,25.9662,120.3278
Ångermanälven,12,0.003,0.0013,0.0014,0.005,Sweden,90.0,18.6669
Þjórsá,6,0.0024,0.0012,0.001,0.0041,Iceland,90.0,-21.7646
