river_name,n_days,avg_speed_ms,std_speed_ms,min_speed_ms,max_speed_ms,country,latitude,longitude
Dumaresq,6,0.0062,0.0025,0.0032,0.0098,Australia,-33.2197,169.0532
Durance,6,0.0642,0.035,0.015,0.1154,France,54.2531,5.3018
Eastmain,6,0.0245,0.0101,0.0117,0.0412,Canada,68.1065,-87.2809
Eel,6,0.0066,0.0035,0.0014,0.012,United States of America,49.081,-138.1131
Ekwan,6,0.007,0.0006,0.006,0.008,Canada,69.8856,-91.5639
Elbe,6,0.0258,0.0047,0.021,0.0312,Germany,70.4919,10.9305
Ems,6,0.0212,0.0044,0.0156,0.0255,Germany,70.0492,8.2005
Esla,6,0.0264,0.0156,0.0112,0.056,Spain,50.567,-6.7184
Exploits,6,0.07,0.0104,0.0559,0.0806,Canada,62.035,-62.9982
Feather,12,0.0059,0.0051,0.001,0.013,United States of America,47.8411,-135.0206
Ferenc Csatorna,6,0.0447,0.015,0.027,0.0662,Hungary,57.8084,21.056
Finlay,6,0.0029,0.001,0.0014,0.0045,Canada,76.7483,-138.9664
Fitzroy,12,0.0541,0.0532,0.001,0.1164,Australia,-20.343,137.9206
Fly,6,0.0184,0.0128,0.0022,0.0338,Papua New Guinea,-7.6383,156.9767
Fraser,6,0.0018,0.0031,0.0,0.008,Canada,76.4721,-69.2885
French,6,0.0814,0.0535,0.0175,0.1598,Canada,57.7349,-89.0761
Fuerte,12,0.0068,0.0028,0.0022,0.0112,Mexico,30.704,-120.8105
Gallegos,6,0.0063,0.0025,0.0041,0.0112,Argentina,-66.9911,-77.4971
Gambia,6,0.0169,0.0078,0.0063,0.0271,Senegal,15.0637,-17.0323
Gamka,6,0.0583,0.0333,0.0166,0.1082,South Africa,-39.0149,24.1454
Gamtoos,6,0.1614,0.0742,0.042,0.2732,South Africa,-40.0037,27.8511
Gan,12,0.2306,0.012,0.2159,0.2463,China,33.9033,129.1105
Gatineau,6,0.1274,0.0511,0.0741,0.1951,Canada,56.6334,-84.2863
Gila,6,0.0301,0.0094,0.0206,0.0428,United States of America,38.868,-123.8492
Glomma,6,0.0082,0.003,0.0036,0.0117,Norway,84.8029,13.389
Godävari,6,0.0196,0.0085,0.0092,0.034,India,19.0318,91.0137
Gourits,6,0.0877,0.0708,0.0227,0.2219,South Africa,-40.5095,24.3547
Grande,6,0.0032,0.0026,0.0,0.0076,Brazil,-22.3726,-56.3077
Great Bear,6,0.0028,0.0013,0.001,0.0045,Canada,90.0,-137.4484
Great Kei,6,0.0539,0.0395,0.0095,0.1149,South Africa,-38.2959,31.5739
Great Ruaha,6,0.0446,0.0169,0.0175,0.0702,United Republic of Tanzania,-8.7721,42.092
Grey,6,0.08,0.0083,0.0695,0.0905,New Zealand,-51.9351,180.0
Groundhog,6,0.0405,0.0256,0.0122,0.0723,Canada,61.846,-91.5192
Guadalquivir,6,0.0,0.0,0.0,0.0,Spain,44.0398,-6.896
Guadiana,12,0.0168,0.0156,0.001,0.0474,Spain,47.175,-5.7671
Göta älv,6,0.0169,0.0092,0.0054,0.0311,Sweden,80.0984,13.7309
