river_name,country,date,current_speed_ms,u_ms,v_ms
Limay,Argentina,2024-08-31,0.016031220303323466,-0.0010000000474974513,0.01600000075995922
Di’er Songhua,China,2024-08-31,0.09047651759470077,0.08500000089406967,-0.03100000135600567
Di’er Songhua,China,2024-08-31,0.06918092795837154,0.0690000057220459,0.005000000353902578
Ogooué,Gabon,2024-08-31,,,
Ogooué,Gabon,2024-08-31,,,
Chico,Argentina,2024-08-31,0.01077033034201004,-0.010000000707805157,-0.004000000189989805
Chico,Argentina,2024-08-31,0.01077033034201004,-0.010000000707805157,-0.004000000189989805
Pongola,South Africa,2024-08-31,0.020099752660279035,-0.020000001415610313,0.0020000000949949026
Pongola,South Africa,2024-08-31,0.020099752660279035,-0.020000001415610313,0.0020000000949949026
Lufira,Democratic Republic of the Congo,2024-08-31,,,
Lufira,Democratic Republic of the Congo,2024-08-31,,,
Lokoro,Democratic Republic of the Congo,2024-08-31,,,
Lokoro,Democratic Republic of the Congo,2024-08-31,,,
Awash,Ethiopia,2024-08-31,0.06087692912479862,-0.05900000408291817,0.015000000596046448
Awash,Ethiopia,2024-08-31,0.1006230659846925,-0.0990000069141388,-0.018000001087784767
Beas,India,2024-08-31,,,
Beas,India,2024-08-31,,,
Tungabhadra,India,2024-08-31,0.10235722444895867,-0.026000000536441803,-0.0990000069141388
Tungabhadra,India,2024-08-31,0.008246211642909338,-0.00800000037997961,-0.0020000000949949026
Mahaweli,Sri Lanka,2024-08-31,0.04295346639271331,0.009000000543892384,-0.04200000315904617
Mahaweli,Sri Lanka,2024-08-31,0.04295346639271331,0.009000000543892384,-0.04200000315904617
Ngun,Laos,2024-08-31,0.055145266147869014,0.055000003427267075,-0.004000000189989805
Ngun,Laos,2024-08-31,0.04455334085505975,0.03200000151991844,-0.03100000135600567
Qumar,China,2024-08-31,,,
Qumar,China,2024-08-31,,,
Yalu,North Korea,2024-08-31,,,
Yalu,North Korea,2024-08-31,,,
Corumbá,Brazil,2024-08-31,,,
Corumbá,Brazil,2024-08-31,,,
Lukuga,United Republic of Tanzania,2024-08-31,,,
Lukuga,Democratic Republic of the Congo,2024-08-31,,,
Tietê,Brazil,2024-08-31,,,
Tietê,Brazil,2024-08-31,,,
Tao’er,China,2024-08-31,,,
Tao’er,China,2024-08-31,,,
Oka,Russia,2024-08-31,,,
Oka,Russia,2024-08-31,,,
Mearim,Brazil,2024-08-31,,,
Mearim,Brazil,2024-08-31,,,
Oti,Ghana,2024-08-31,,,
Oti,Ghana,2024-08-31,,,
Luvua,Zambia,2024-08-31,,,
Luvua,Democratic Republic of the Congo,2024-08-31,,,
Bol’shoy Yenisey,Russia,2024-08-31,,,
Bunga,Nigeria,2024-08-31,,,
Niari,Republic of the Congo,2024-08-31,,,
Lungwebungu,Angola,2024-08-31,,,
Luangwa,Zambia,2024-08-31,,,
Great Ruaha,United Republic of Tanzania,2024-08-31,0.04545327348019349,0.03500000014901161,-0.029000001028180122
Tekezé,Ethiopia,2024-08-31,0.0,0.0,0.0
Mun,Thailand,2024-08-31,0.022825426081504147,0.020000001415610313,-0.01100000087171793
Chi,Thailand,2024-08-31,0.012041594686684566,-0.012000000104308128,-0.0010000000474974513
Shandian,China,2024-08-31,,,
Da,Vietnam,2024-08-31,,,
Onon,Russia,2024-08-31,,,
Tone,Japan,2024-08-31,0.1009752460265533,-0.10000000149011612,-0.014000000432133675
Taymura,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Alazeya,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Mana,Russia,2024-08-31,,,
Popigay,Russia,2024-08-31,0.0022360680837073196,0.0010000000474974513,0.0020000000949949026
Contas,Brazil,2024-08-31,,,
Maicuru,Brazil,2024-08-31,,,
Mira,Ecuador,2024-08-31,0.033241540122536425,-0.032999999821186066,-0.004000000189989805
Copiapó,Chile,2024-08-31,0.014035669282037746,0.0010000000474974513,0.014000000432133675
Dulce,Argentina,2024-08-31,,,
Cả,Vietnam,2024-08-31,0.01029563078830477,0.005000000353902578,0.009000000543892384
Nakdong,South Korea,2024-08-31,0.010000000707805157,0.010000000707805157,0.0
Palyavaam,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Great Kei,South Africa,2024-08-31,0.11494782059421642,-0.05300000309944153,0.10200000554323196
Lukenie,Democratic Republic of the Congo,2024-08-31,,,
Kondoma,Russia,2024-08-31,,,
Daling,China,2024-08-31,,,
Bol’shoy Anyuy,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Aoukalé,Central African Republic,2024-08-31,,,
Chico,Argentina,2024-08-31,0.02640075928185907,0.021000001579523087,0.01600000075995922
Tambo,Peru,2024-08-31,0.14354442304284093,0.1420000046491623,0.021000001579523087
Pisco,Peru,2024-08-31,0.06923149940280163,0.06800000369548798,-0.013000000268220901
Ocoña,Peru,2024-08-31,0.057218881775333554,0.05700000375509262,-0.005000000353902578
Yapacani,Bolivia,2024-08-31,0.003162277699927237,-0.003000000026077032,0.0010000000474974513
Una,Brazil,2024-08-31,,,
Piauí,Brazil,2024-08-31,,,
Olifants,South Africa,2024-08-31,0.02051828525927878,0.014000000432133675,0.015000000596046448
Alima,Republic of the Congo,2024-08-31,,,
Ebola,Democratic Republic of the Congo,2024-08-31,,,
Lua,Democratic Republic of the Congo,2024-08-31,,,
Chinko,Central African Republic,2024-08-31,,,
Baoulé,Mali,2024-08-31,,,
Oued Sebou,Morocco,2024-08-31,,,
Lucala,Angola,2024-08-31,,,
Ngounie,Gabon,2024-08-31,,,
Ribeira,Brazil,2024-08-31,,,
Zuo,China,2024-08-31,0.07600000500679016,0.0,0.07600000500679016
Duliu,China,2024-08-31,,,
Mogami,Japan,2024-08-31,0.2192578428777106,0.0430000014603138,0.2150000035762787
Ituxi,Brazil,2024-08-31,,,
Saint Paul,Liberia,2024-08-31,0.015000000596046448,0.0,-0.015000000596046448
Lobaye,Central African Republic,2024-08-31,,,
Dja,Cameroon,2024-08-31,,,
Sankuru,Democratic Republic of the Congo,2024-08-31,,,
Kwilu,Democratic Republic of the Congo,2024-08-31,,,
Chambeshi,Zambia,2024-08-31,,,
Inkisi,Democratic Republic of the Congo,2024-08-31,,,
Shama,United Republic of Tanzania,2024-08-31,,,
Malagarasi,United Republic of Tanzania,2024-08-31,,,
Erdao,China,2024-08-31,,,
Nanweng,China,2024-08-31,,,
Chuna,Russia,2024-08-31,0.006708203990809385,0.003000000026077032,-0.006000000052154064
Severnaya Sos’va,Russia,2024-08-31,0.0,0.0,0.0
Amgun’,Russia,2024-08-31,,,
Moma,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Adycha,Russia,2024-08-31,0.0014142136295446348,0.0010000000474974513,0.0010000000474974513
Chaor,China,2024-08-31,,,
Bikin,Russia,2024-08-31,0.07951100920161712,-0.07900000363588333,-0.009000000543892384
Maya,Russia,2024-08-31,0.023600848706439588,0.014000000432133675,0.01900000125169754
Kukhtuy,Russia,2024-08-31,0.00538516517100502,-0.0020000000949949026,-0.005000000353902578
Jiparaná,Brazil,2024-08-31,,,
