river_name,country,mouth_lat_deg,mouth_lon_deg,u_ms,v_ms,current_speed_ms,in_bounds
Tonle Sap,Cambodia,13.294087107034414,106.84912309269649,0.003000000026077032,0.010000000707805157,0.010440307194358116,True
Tonle Sap,Cambodia,11.627063288223036,107.4582787744232,0.08400000631809235,0.16200000047683716,0.18248287924058737,True
Kaladan,Myanmar,20.9356447002228,99.93886224072082,,,,False
Mytitha,Myanmar,23.787775051938596,103.36003455499201,,,,False
Son,India,26.52594659265412,95.13677825447446,,,,False
Betwa,India,26.761151707573447,90.09027965342123,,,,False
Parbati,India,26.681845769941464,85.9149884649264,,,,False
Indravati,India,18.987231704168963,85.13020764923453,0.03400000184774399,0.005000000353902578,0.03436568243445226,True
Balak,India,24.657166429619075,100.39203616678675,,,,False
Balak,Bangladesh,25.037308785078455,100.90913863231623,,,,False
Gandak,Nepal,26.44853961742458,95.41447534555043,,,,False
Tungabhadra,India,15.39981487618446,79.38938105142766,,,,False
Tungabhadra,India,16.121199225911447,81.67380424452614,0.005000000353902578,0.0,0.005000000353902578,True
Mahaweli,Sri Lanka,7.995016807918681,82.1746088788919,-0.013000000268220901,-0.03400000184774399,0.03640055126808299,True
Mahaweli,Sri Lanka,7.995016807918681,82.1746088788919,-0.013000000268220901,-0.03400000184774399,0.03640055126808299,True
Ngun,Laos,18.988259533924612,109.00814625950532,,,,False
Ngun,Laos,18.8151546823493,108.6692062039634,,,,False
Mun,Thailand,15.449054843129955,109.77386295757941,,,,False
Chi,Thailand,15.313319179021931,108.88325364953172,,,,False
Mytinge,Myanmar,22.346474213817526,104.07954414221862,,,,False
Wainganga,India,19.10593442254916,84.81918231330154,,,,False
Banas,India,26.768056059128945,86.19756582246254,,,,False
Tel,India,21.23995036366404,90.32897116802593,-0.036000002175569534,0.009000000543892384,0.037107952873084694,True
Palar,India,12.514805826738984,82.33651770803176,-0.012000000104308128,-0.02500000037252903,0.027730849628704972,True
Luhit,India,28.913070910078996,109.36627418384413,,,,False
Kolidam,India,10.894124637509915,80.35254261306882,-0.021000001579523087,0.00800000037997961,0.02247220666556015,True
Mae Klong,Thailand,15.163483876724571,102.90709958567368,,,,False
Mae Klong,Thailand,13.444958466995693,103.11520353121524,,,,False
Yom,Thailand,18.27897999320108,106.26421832366312,,,,False
Yom,Thailand,15.848694831284668,104.39749879734693,,,,False
Cauvery,India,12.013491891727332,79.64276041897132,,,,False
Cauvery,India,10.84062489506341,80.54619915476079,0.021000001579523087,-0.003000000026077032,0.021213205002932355,True
Chambal,India,25.46351599364628,83.87194330271403,,,,False
Chambal,India,27.408441352427403,89.52202797493662,,,,False
Ping,Thailand,17.44011671335095,104.02555295112037,,,,False
Ping,Thailand,15.858856093790617,104.42174485604819,,,,False
Ghäghara,India,26.56378871233283,94.9837271301075,,,,False
Chindwin,Myanmar,21.886202730563298,102.96852145896135,,,,False
Sapt,China,26.01399133450429,97.93275955531844,,,,False
Sreng,Cambodia,13.294087107034414,106.84912309269649,0.003000000026077032,0.010000000707805157,0.010440307194358116,True
Manas,Bhutan,27.064397952447006,102.08875318954281,,,,False
Ou,Laos,20.397782703486204,109.37687488529238,,,,False
Bhima,India,16.58377571175739,80.8710751191913,,,,False
Tista,India,26.22193167435803,100.27451623153281,,,,False
Kong,Laos,13.64910231801815,109.42735074008472,,,,False
Sittong,Myanmar,17.66956792186259,101.97269790508898,,,,False
Mahi,India,22.78215320165833,79.30418306807051,,,,False
Tapi,India,21.56877192954354,78.42984147267572,,,,False
Sankh,India,22.76768467654556,92.0870442923057,,,,False
Penner,India,14.670093288224617,83.08849255324961,0.003000000026077032,0.04400000348687172,0.044102157622968804,True
Brahmani,India,21.08838858894207,93.44898431613721,,,,False
Srepok,Cambodia,13.618569842435956,109.3497223709748,,,,False
Chao Phraya,Thailand,15.363295823403309,104.09097851550379,,,,False
Mahäna Nadï,India,22.154711626629688,90.19895123232956,,,,False
Mahäna Nadï,India,20.498083641304724,92.24742881473249,-0.1120000034570694,0.1300000101327896,0.1715925505635631,True
Krishna,India,16.39163334571842,82.58103536711454,0.0,0.0,0.0,True
Krishna,India,16.754318038340397,83.06792989877722,0.0,0.0,0.0,True
Yamuna,India,26.202034114802146,91.54581909789859,,,,False
Narmada,India,22.217653380957678,79.22431139118112,,,,False
Godävari,India,17.14580402311442,85.80786343080382,0.09600000083446503,-0.10200000554323196,0.14007141496763942,True
N'Mai,Myanmar,26.518379487532037,109.26227753159372,,,,False
Ayeyarwady,Myanmar,16.412922737659084,99.31281849926538,,,,False
Nu,China,21.358499466561877,106.0768156248953,,,,False
Salween,Myanmar,16.72893043118108,102.28363972684973,,,,False
Ganges,India,22.79983301614282,97.33886310384314,,,,False
Indus,Pakistan,24.710082939693415,74.98583023346136,,,,False
Lancang,China,18.04936502381698,107.12766518735654,,,,False
Mekong,Laos,11.628751966066194,107.45773062347355,0.08400000631809235,0.16200000047683716,0.18248287924058737,True
Brahmaputra,India,24.94887206641808,99.27798098888636,,,,False
Irrawaddy Delta,Myanmar,16.98981708378715,100.12354220213865,,,,False
