river_name,country,original_lat,original_lon,adjusted_lon,used_lat,used_lon,date,u_ms,v_ms,current_speed_ms,was_clamped,file_source,depth_type
Rungwa,United Republic of Tanzania,-8.03843460505356,35.62223705384754,35.62223705384754,-8.03843460505356,35.62223705384754,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Ligonha,Mozambique,-17.03608505787743,41.608649221092264,41.608649221092264,-17.03608505787743,41.608649221092264,2024-08-31,-0.021000001579523087,-0.01900000125169754,0.028319606528066033,False,uv3z_08-31-2024.nc4,bottom
Dongwe,Zambia,-15.596922617182363,26.644385347634167,26.644385347634167,-15.596922617182363,26.644385347634167,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Cuito,Angola,-14.198700392382694,20.414733570379727,20.414733570379727,-14.198700392382694,20.414733570379727,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Bagoé,Mali,12.96021038813174,-7.303819637145364,352.69618036285465,12.96021038813174,352.69618036285465,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Hadejia,Nigeria,12.849536915274728,8.341243368239368,8.341243368239368,12.849536915274728,8.341243368239368,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Sous,Morocco,35.50578061351372,-9.517816462824872,350.4821835371751,35.50578061351372,350.4821835371751,2024-08-31,0.039000000804662704,0.036000002175569534,0.053075420105776865,False,uv3z_08-31-2024.nc4,bottom
Oum Er Rbia,Morocco,38.288080487369115,-6.679169447596414,353.3208305524036,38.288080487369115,353.3208305524036,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
San Miguel,Bolivia,-14.99357059038867,-71.24447410769508,288.75552589230495,-14.99357059038867,288.75552589230495,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Coari,Brazil,-4.465620680491888,-70.32864300399591,289.6713569960041,-4.465620680491888,289.6713569960041,2024-08-31,,,,False,uv3z_08-31-2024.nc4,bottom
Dan,China,38.79382470950977,123.81956076286787,123.81956076286787,38.79382470950977,123.81956076286787,2024-08-31,-0.03200000151991844,-0.017000000923871994,0.03623534363969012,False,uv3z_08-31-2024.nc4,bottom
